_FIVETRAN_SYNCED,ACTIVE_IN_ACTIVE,ACTUAL_RISK_OF_THE_OBSERVATION,AOC_AS_PER_NEW_VIQ,AGE_2,AREA_OF_CONCERN,AUTHORITY,CAUSE_ANALYSIS,COUNTRY,CREW_NATIONALITY,DEFICIENCY_COUNT,DEFICIENCY_COUNT_FOR_BI,ELMER_ESTRELLA,FLEET_,IMMEDIATE_ACTION_TAKEN,IMO_NO,GROUP,INSPECTION_FROM_DATE,INSPECTION_TYPE,INSPECTOR,MARINE_MANAGER,MARINE_SUPERINTENDENT,NATIONALITY_OF_THE_CREW,NATURE_OF_DEFICIENCY,OWNER_GROUP,PERIOD,PORT_NAME,POTENTIAL_RISK_OF_THE_OBSERVATION,PSC_CATEGORY,PSC_CODE,PSC_SUB_CATEGORY,R_OWNERS,REFERENCE_CODE_1,REFERENCE_NO_,REGISTERED_OWNER_OF_THE_SHIP,REMARKS,RESIDUAL_RISK_AFTER_CA_,SHIPPALM_REF_,SUGGESTED_CORRECTIVE_ACTION,TECHNICAL_MANAGER,TECHNICAL_SUPERINTENDENT,HAND_OVER_DATE_MOD,VESSEL_NAME,VESSEL_TYPE,YARD,YEAR_BUILD,AGE_OF_VESSEL,STATUS,COLUMN_1,COLUMN_2,"""Dry/Wet""",VESSEL_TYPE_1,FLAG_STATE,ACTUAL_OWNERS,DETENTION,MANAGER_GROUP
2025-04-29T12:09:57.096Z,null,null,null,null,null,Paris MOU,Crew error,Germany,null,8,1,null,null,null,9399349,null,02-08-24,null,Port State Control (2018) 1st Edition (2018),null,null,null,Vessel have 3 Plimsoll Marks. 2 of them are white painted. It is unclear which is valid.                                                                                                                                                                                                                                                                                                                                                                                        Acc. LL-Certificate found on board summer freeboard is 6013 mm.,null,Q3 - 2024,Hamburg,null,null,3199,null,null,null,PSCSDAS005,null,null,null,null,null,null,null,01-05-25,Henriette Maersk,Tanker,null,null,null,null,898,null,Wet,Tanker,Singapore,Maersk,null,SDAS
2025-04-29T12:09:57.074Z,null,null,null,null,null,Paris MOU,null,France,null,0,0,null,null,null,9399363,null,30-06-24,null,null,null,null,null,Nil findings,null,Q2 - 2024,Bordeaux,null,null,null,null,null,null,846,null,null,null,null,null,null,null,01-05-25,Hulda Maersk,Tanker,"STX Offshore & Shipbuilding Co Ltd, Jinhae, South Korea",null,14.76,null,853,null,Wet,Tanker,Denmark,Maersk,null,SDAS
2025-04-29T12:09:57.077Z,null,null,null,null,null,Tokyo MOU,null,China,null,0,0,null,null,null,9909742,null,07-03-24,null,null,null,null,null,Nil findings,null,Q1 - 2024,Yangpu,null,null,null,null,null,null,881,null,null,null,null,null,null,null,01-05-25,Eastern Roselle,Tanker,Fujian Haihong Ship Design Co Ltd,null,3.47,null,888,null,Wet,Tanker,Liberia,EGPN Bulk Carrier Co Limited,null,SDAS
2025-04-29T12:09:57.099Z,null,null,null,null,null,USCG,null,USCG,null,0,0,null,null,null,9943396,null,18-10-24,null,Port State Control (2018) 1st Edition (2018),null,null,null,Nil findings,null,Q4 - 2024,New Orleans,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01-05-25,CL Virginia Woolf,Tanker,null,null,null,null,null,null,Wet,Tanker,Liberia,Shandong Shipping Tankers Co Ltd,null,SDAS
2025-04-29T12:09:56.993Z,null,null,null,null,null,Tokyo MOU,null,Thailand,null,1,1,null,null,null,9943372,null,01-02-24,null,null,null,null,null,Visitor logbook did not record properly,null,Q1 - 2024,Phetchaburi,null,null,16105,Access control to ship,null,17,704,null,null,null,null,null,null,null,01-05-25,CL Margaret Mitchell,Tanker,"New Times Shipbuilding Co, Ltd, Jiangsu, China",null,1.24,null,711,null,Wet,Tanker,Liberia,Shandong Shipping Tankers Co Ltd,null,SDAS
2025-04-29T12:09:56.982Z,null,null,null,null,null,Tokyo MOU,null,China,null,null,1,null,null,null,9726451,null,05-12-23,null,null,null,null,null,The portside emergency search light on boat deck found stuck.,null,Q4 - 2023,Zhoushan,null,Emergency Systems,4103,"Emergency, lighting,batteries and switches",null,17,698,null,null,null,null,null,null,null,01-05-25,Maersk Tangier,Tanker,"Sungdong Shipbuilding & Marine Engg Co Ltd, Tongyeong, South Korea.",null,9.24,null,705,null,Wet,Tanker,Denmark,Maersk,null,SDAS
2025-04-29T12:10:12.792Z,null,null,null,null,null,Paris MoU,null,null,null,0,0,null,null,null,9433860,null,12-11-24,PSC,Pablo Pardo,null,null,"Indonesian, Indian",Nil,null,Q4 - 2024,null,null,NA,NA,NA,PT.SAMUDERA AMANAH TANKER,null,2024SMICPSC003,null,null,null,null,null,null,null,01-05-25,Sinar Minahasa,Tanker,"Higaki Shipbuilding Co., Ltd.",null,17.32,null,null,null,Wet,Tanker,Indonesia,Samudera,No,SMIC
2025-04-29T12:10:12.792Z,null,null,null,null,null,Tokyo MoU,null,null,null,null,1,null,null,null,9433860,null,31-07-24,PSC,Nevic B Vinas,null,null,"Indonesian, Indian",Upper deck international shore connection spanner missing.,null,Q3 - 2024,null,null,Fire safety,7118,International shore-connection,PT.SAMUDERA AMANAH TANKER,null,2024SMICPSC002,null,null,null,null,null,null,null,01-05-25,Sinar Minahasa,Tanker,"Higaki Shipbuilding Co., Ltd.",null,17.32,null,null,null,Wet,Tanker,Indonesia,Samudera,No,SMIC
2025-04-29T12:10:17.242Z,null,null,null,null,null,Riyadh MOU,null,United Arab Emirates,null,0,0,null,null,null,9481685,null,22-11-23,PSC,Noureldin Binawof,Raghuraman K,Capt. Rajesh sinha,Indians,Nil findings,Arcelor Mittal,Q4 - 2023,Mina Saqr,null,0,null,0,Comsea S6 International Ship Pte Ltd,null,2023PSC008,null,null,null,null,null,Kunal Chandra,Niranjan Nirmalkumar,01-05-25,GCL Narmada,Bulk Carrier,STX DALIANSHIPBUILDING CO LTD CHINA,null,12.47,null,null,null,Dry,Bulk Carrier,Singapore,Arcelor Mittal,null,FMPL
2025-04-29T12:10:33.325Z,Active,null,null,null,null,Transport Canada,null,Canada,Filippino/ Ukranian / Bangladeshi,null,1,null,Fleet B,null,9490636,null,20-10-23,PSC,"Ahamed yusuff , Mclean Colin",Damanjeet Singh Bakshi,Tejinder Singh,null,Five fire doors not closing properly .,Genco,Q4 - 2023,Saint John,null,Fire safety,7105,Fire doors/openings in fire-resisting divisions,null,30,2023PSC107,Genco Ardennes Ltd,null,null,null,null,Arun Kumar,Sathiyaseelan,01-07-24,Genco Ardennes,Bulk Carrier,Yangzhou Dayang Shipbuilding,null,15.67,Open,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
2025-04-29T12:09:00.58Z,null,null,null,null,null,Abuja MoU,null,Guinea,null,0,0,null,null,null,9361249,null,18-02-25,PSC,Moriba Koivogui,Gurusher Bahadur Singh,Viswanath Vaidyanathan,null,Nil Findings,null,Q1 - 2025,Boffa,null,,null,,null,null,2025PSC072,null,null,null,null,null,Sivakumar Natarajan ,George Kurian,01-05-25,Genco Augustus,Bulk Carrier,null,null,null,null,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,SMPL
2025-04-29T12:09:00.482Z,Active,null,null,null,null,Paris MoU,null,Greece,null,0,0,null,null,null,9930923,F,09-12-24,PSC,Spyridon Malafouris,Harris Surendar Moses,Irfan Rangwala,null,Nil Findings,DEE4 Capital Co.,Q4 - 2024,Patras,null,,null,,null,null,2024PSC555,null,null,null,null,null,Sivakumar Palani,Manoj Prabhakar,01-05-25,Dee4 Juniper,Tanker,"HMD, Korea",null,14.55,null,null,null,Wet,Tanker,Liberia,DEE4 Capital Co.,null,SMPL
2025-04-29T12:09:00.301Z,null,null,null,null,null,Paris MoU,null,Netherlands,null,null,1,null,null,null,9520807,null,13-01-25,PSC,"Leon Prank, Harco Bokhorst",Vikram Viswanathan,Ranjith Mathew,null,Engine room crew / offices not always wearing ear protection,null,Q1 - 2025,Amsterdam,null,"Health protection, medical care, social security",18412,Personal equipment,null,17,2025PSC009,null,null,null,null,null,Nandagopal,Gaurav singh Rajput,01-05-25,Amis Kalon,Bulk Carrier,null,null,null,null,null,null,Dry,Bulk Carrier,Panama,Wisdom Marine Group,null,SMPL
2025-04-29T12:09:13.271Z,null,null,null,null,N/A,Abuja MoU,N/A,Senegal,null,0,0,null,null,N/A,9629706,null,28-10-24,PSC,Not mentioned,null,null,Indian + Filipino,Nil,Praslin Shipping,Q4 - 2024,Dakar,null,,null,,Maritime Amirante LLC,null,2024PSC040,null,null,null,null,N/A,null,null,01-05-25,Amirante,Tanker,"STX Offshore & Shipbuilding Co., Ltd.",null,11.89,null,null,null,Wet,Tanker,Marshall Islands,Parslin,No,SMC
2025-04-29T12:09:13.158Z,Active ,null,null,null,null,Abuja MOU,NA,Ghana,null,0,0,null,null,NA,9419735,null,08-03-23,PSC,J.B. Bennett,Vijaya Ragavan,Deny Kattady,Indian + Filipino ,Nil findings,Norden Asset Management A/S,Q1 - 2023,Takoradi,null,,null,,Norden Asset Management A/S,null,2023PSC014,null,null,null,null,NA,Deepak Sasikumar,rejesh Padannapurath,20-04-23,Nord Stingray,Tanker,STX Offshore & Shipbuilding Co. Ltd,null,15.98,null,null,null,Wet,Tanker,Denmark,Norden Asset Management A/S,null,SMC
2025-04-29T12:09:13.11Z,Active ,null,NA,null,null,USCG,NA,United States of America,null,0,0,null,null,NA,9629691,null,17-02-22,PSC,Angela Stowman,Vijaya Ragavan,Cyril Cyriac,Indian + Filipino,Nil findings,Norden Asset Management A/S,Q1 - 2022,San Francisco,null,,null,,Norden Shipping (Singapore) Pte Ltd,null,2022PSC004,null,null,null,null,NA,Deepak Sasikumar,Sameer Abdul,31-01-24,James Cook,Tanker,"STX Offshore & Shipbuilding Co., Ltd.",null,12.04,null,null,null,Wet,Tanker,Singapore,Norden Asset Management A/S,null,SMC
2025-04-29T12:10:00.422Z,null,null,null,null,null,AMSA,null,Australia,null,null,1,null,null,null,9498846,null,13-09-24,PSC,Rana Ajay,Kohli (Synergy Germany),Capt. Nitin Jaiswal,Phillipines,Water leakage evident from engine mounted fresh water pump for no.2 diesel generator.,Oldendorff Carriers GMBH & Co KG,Q3 - 2024,Newcastle,null,Propulsion and auxiliary machinery,13102,Auxiliary engine,Catania Shipping Inc.,16,2024PSC031,null,null,null,null,null,Devarayalu Gomatam,Ahutosh Agarwal,08-11-24,Cornelie Oldendorff,Bulk Carrier, Yangfan Group Co. Ltd,null,14.02,null,null,null,Dry,Bulk Carrier,Liberia,Oldendorff Carriers GMBH & Co KG,null,SMG
2025-04-29T12:10:00.377Z,null,null,null,null,null,Transport Canada,null,Canada,null,null,1,null,null,null,9498846,null,31-08-22,PSC,Kamal. Wasif,Kohli (Synergy Germany),Nitin Jaiswal,"Phillipines, Romania",Compass correction log not filled in as required by all navigating officers. Master instructed to ensure that entries are made by all officers,Oldendorff Carriers GMBH & Co KG,Q3 - 2022,Milne Inlet,null,Safety of Navigation,10106,Compass correction log,Catania Shipping Inc.,99,2022PSC023,null,null,null,null,null,Tata M Sarma,Manoj Prabhakar,08-11-24,Cornelie Oldendorff,Bulk Carrier, Yangfan Group Co. Ltd,null,14.02,null,null,null,Dry,Bulk Carrier,Liberia,Oldendorff Carriers GMBH & Co KG,null,SMG
2025-04-29T12:10:00.377Z,null,null,null,null,null,Transport Canada,null,Canada,null,null,1,null,null,null,9498846,null,31-08-22,PSC,Kamal. Wasif,Kohli (Synergy Germany),Nitin Jaiswal,"Phillipines, Romania",Placards not poster at garbage storage area and lids missing from the bins,Oldendorff Carriers GMBH & Co KG,Q3 - 2022,Milne Inlet,null,Pollution Prevention - MARPOL Annex V,14502,Placards,Catania Shipping Inc.,10,2022PSC023,null,null,null,null,null,Tata M Sarma,Manoj Prabhakar,08-11-24,Cornelie Oldendorff,Bulk Carrier, Yangfan Group Co. Ltd,null,14.02,null,null,null,Dry,Bulk Carrier,Liberia,Oldendorff Carriers GMBH & Co KG,null,SMG
2025-04-29T12:10:00.419Z,null,null,null,null,null,Paris MoU,null,Germany,null,null,1,null,null,null,9537898,null,10-06-24,PSC,"Ralph Duerfeld, Olaf Petersen",Kohli (Synergy Germany),S Battacharya,India,"Fire door self closing mechanism, for multiple doors, found not closing fully. Including accommodation stairwell and galley.",Oldendorff Carriers GMBH & Co KG,Q2 - 2024,Hamburg,null,Fire safety,7105,Fire doors/openings in fire-resisting divisions,Oldendorff Carriers GmbH,18,2024PSC025,null,null,null,null,null,Devarayalu Gomatam,Chandrasekhar,15-08-24,Christine Oldendorff,Bulk Carrier,Kouan Shipbuilding Co. Ltd,null,14.67,null,null,null,Dry,Bulk Carrier,Liberia,Oldendorff Carriers GMBH & Co KG,null,SMG
2025-04-29T12:10:00.356Z,null,null,null,null,null,Paris MOU,null,Netherlands,null,null,1,null,null,null,9537898,null,03-01-22,PSC,"Sergio Peters, Leon Pronk",Kohli (Synergy Germany),Mads Walther ,"India, Ukraine",Release hook raft / rescue boat not according specification. Operation wires missing.,Oldendorff Carriers GMBH & Co KG,Q1 - 2022,Amsterdam,null,Life saving appliances,11107,Stowage of rescue boats,Catania Shipping Inc.,17,2022PSC001,null,null,null,null,null,Tata M Sarma,Robert Falbogowski ,15-08-24,Christine Oldendorff,Bulk Carrier,Kouan Shipbuilding Co. Ltd,null,14.67,null,null,null,Dry,Bulk Carrier,Liberia,Oldendorff Carriers GMBH & Co KG,null,SMG
2025-04-29T12:09:13.129Z,Active ,null,null,null,null,Paris MOU,"Wear and tear due to exposure of the prevailing marine environment.
The wire did not show signs of external weakness and parted during service.",Slovenia,null,null,1,null,null,"All other dampers checked for condition of activation wire and found none were in need of replacement. Upgradation is completed as mentioned in the corrective action, the continued
maintenance of vessel standards is closely monitored by following a maintenance plan prepared in co-operation with the superintendent.",9448322,null,30-11-22,PSC,Goran Mrdenovic,Vijaya Ragavan,Denni Jacob,Indian + Filipino + Greek + Bangladeshi,"Fire Dampers - Engine room vent damper on portside, aft part - unable to shut from outiside due to cut closing wire.",Mantinia Shipping,Q4 - 2022,Koper,null,Fire safety,7115,Fire-dampers,Aliakmon Shipowning Company,17,2022PSC048,null,null,null,null,null,Deepak Sasikumar,Bijo Jose,01-05-25,Vorias,Tanker,Guangzhou Shipyard International Co.Ltd ,null,15.8,null,null,null,Wet,Tanker,Liberia,Mantinia Shipping,null,SMC
2025-04-29T12:09:13.126Z,Active ,null,null,null,null,Paris MOU,null,Netherlands,null,null,1,null,null,null,9461697,null,14-07-22,PSC,Harco Bokhorst,Vijaya Ragavan,Denni Jacob,Indian + Filipino ,"Other (Navigation) -  BNIWASS blinking lights are not working eg. bridge main panel and BOTH bridge wing control/steering units located outside
on bridge wings. In addition is the operating unit, located on starbord side
bridge wing. not mounted (loose) and can not be used as result of this. Open elecircity. Port side navigation panel located on bridge wing can not be used due to the fact the construction does not stay in place (fall down when opened). ",Hafnia,Q3 - 2022,Amsterdam,null,Safety of Navigation,10199,Other (navigation),Hafnia Tankers Singapore Sub-Holding Pte. Ltd.,null,2022PSC027,null,null,null,null,null,Deepak Sasikumar,Justin John,01-05-25,Hafnia Crux,Tanker,Guangzhou Shipyard International Co.Ltd ,null,13.24,null,null,null,Wet,Tanker,Denmark,Hafnia,null,SMC
2025-04-29T12:09:13.123Z,Active ,null,null,null,null,AMSA,null,Australia,null,null,1,null,null,null,9617959,null,29-04-22,PSC,Ajay Kumar Palayil,Vijaya Ragavan,Cyril Cyriac,Indian + Filipino ,"Forward mooring winch on main deck, minor hydraulic leak.",Hafnia,Q2 - 2022,Darwin,null,Fire safety,7199,Other (fire safety),Hafnia Tankers Singapore Sub-Holding Pte. Ltd.,16,2022PSC014,null,null,null,null,null,Deepak Sasikumar,Hari Krishna R,01-05-25,Hafnia Libra,Tanker,Guangzhou Shipyard Intl. China,null,12,null,null,null,Wet,Tanker,Denmark,Hafnia,null,SMC
2025-04-29T12:09:13.282Z,null,null,null,null,null,Riyadh MoU,null,United Arab Emirates,null,2,1,null,null,null,9461702,null,17-02-25,PSC,Mr. Mohammed Allan,null,null,Indian + Filipino + Romanian,Security Measures (Visitors) Not Implemented,Hafnia,Q1 - 2025,Fujairah,null,,null,,Hafnia Tankers Singapore Sub-Holding Pte. Ltd.,null,2025PSC006,null,null,null,null,null,null,null,01-05-25,Hafnia Phoenix,Tanker,Guangzhou Shipyard Intl. China,null,55.36,null,null,null,Wet,Tanker,Denmark,Hafnia,No,SMC
2025-04-29T12:09:13.111Z,Active ,null,null,null,null,Vina del Mar,null,Argentina,null,null,1,null,null,null,9461702,null,25-04-22,PSC,Dino Andres Alegre,Vijaya Ragavan,Cyril Cyriac,Indian + Filipino ,Lub. oil pressure guauge of the compressor N 2 not working,Hafnia,Q2 - 2022,San Lorenzo,null,Propulsion and auxiliary machinery,13103,"Gauges,thermometers, etc",Hafnia Tankers Singapore Sub-Holding Pte. Ltd.,17,2022PSC013,null,null,null,null,null,Deepak Sasikumar,rejesh Padannapurath,01-05-25,Hafnia Phoenix,Tanker,Guangzhou Shipyard Intl. China,null,11.84,null,null,null,Wet,Tanker,Denmark,Hafnia,null,SMC
2025-04-29T12:10:33.274Z,Active,null,null,null,null,Paris MOU,null,Germany,Filippino & Romanian,null,1,null,Fleet B,null,9490662,null,27-07-22,PSC,"Hauke Erdt, Daniel Uelsmann",Damanjeet Singh Bakshi,Shailendra,null,"Coreective action taken on the ISM sysytem by the company is required within 3 months. Deficiency(s) marked ISM is(are) objective evidence of a failure , or lack of effectiveness , of the implementation of the ISM code. This ship will be eligible for reinspection after 3 months from the final date of report.",Genco,Q3 - 2022,Bremen,null,ISM,15150,ISM,null,17,2022PSC083,Genco Bourgogne Ltd,null,null,null,null,Sanjay Jaiswal,Kalicharan Ganguly,14-09-24,Genco Bourgogne,Bulk Carrier,Yangzhou Dayang Shipbuilding,null,15.26,Open,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
2025-04-29T12:10:33.29Z,Active,null,null,null,null,Paris MOU,null,Netherlands,Indian,null,1,null,Fleet A,null,9492335,null,01-12-22,PSC,Fulco deBlaauw & Mr.Sergio Peters,Glennford Gonsalves,Gurpreet Singh Mehar,null,"SOLAS training manual not containing ship's specific information for example lifeboat releaase system and fire fighting equipment in use,",Genco,Q4 - 2022,Rotterdam,null,Life saving appliances,11131,On board training and instructions,null,17,2022PSC136,Baltic Wolf Ltd,null,null,null,null,Ravikumar,Ramanathan Subramanian,12-04-24,Baltic wolf,Bulk Carrier,Shanghai Jiangnan Changxing Co.Ltd,null,14.55,Closed ,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
2025-04-29T12:10:33.264Z,Active,null,null,7,NA,Others,Nil,Taiwan,Indian,0,0,null,Fleet A,Nil,9742663,null,21-06-22,PSC,Traore Mamado,Glennford Gonsalves,Shailendra,null,Nil findings,Genco,Q2 - 2022,Kaohsiung,null,0,null,0,null,null,2022PSC067,Genco Vigilant Ltd,null,null,null,Nil, Sanjay Jaiswal,Vipin Ramakrishnan,07-07-24,Genco Vigilant,Bulk Carrier,Jiangsu New Hantong Ship Heavy Industry,null,9.99,Closed,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
2025-04-29T12:10:33.264Z,Active,null,null,17,null,Mediterranean MOU,null,Egypt,Indian,1,1,null,Fleet C,null,9301720,null,16-06-22,PSC,Samir Moussa,Damanjeet Singh Bakshi,Shailendra,null,Same parts of outside of hull are rusted,Genco,Q2 - 2022,Alexandria,null,0,211,0,null,99,2022PSC065,Genco Picardy Ltd,null,null,null,null,Angarayan,Kingshook Ghose,20-07-24,Genco Picardy,Bulk Carrier,Nantong COSCO KHI Ship Engineering co,null,20.14,Closed,null,null,Dry,Bulk Carrier,Marshall Islands,GENCO,null,GSSM
