Code,Title,Description,Severity,Classification
01209,Manning specified by the minimum safe manning doc,"(SOLAS V/MLC) If the actual crew on board is below the numbers/roles on the Safe Manning Document, the ship is undermanned. E.g., the Safe Manning requires 1 Chief + 2 watch officers, but only 1 watch officer is on board – that is a major violation. PSC will detain the ship until required crew joi​crclass.org】. Undermanning has been a factor in many incidents (fatigue, inadequate watch). This is very severe.",9,Process
01210,Certificate for medical first aid,"(STCW VI) At least one seafarer (usually an officer) must have Medical First Aid training. If none are certified in even basic first aid, crew might not get proper immediate treatment for injuries, raising risks. PSC will require someone gets trained or added. It’s a moderate deficiency – important but can be compensated short-term (via telemedicine guidance, etc.).",5,Process
01211,Cert for personnel on survival craft & rescue boat,"(STCW VI) Any seaman assigned to lifeboat/rescue boat launching or command must have Proficiency in Survival Craft (PSC) certification. Without it, crew may mishandle lifesaving appliances in an abandon-ship scenario. PSC will not tolerate non-certified boat handlers – this is crucial for evacuation. Likely they will detain until enough crew have the cert or restrict vessel’s operations (e.g., reduce persons on board). High moderate severity.",6,Process
01212,Certificate for medical care,"(STCW VI) The designated “medical person in charge” (often the Chief Officer) needs Advanced Medical Care training. If not certified, advanced treatment on board (for serious injuries/illnesses) might be inadequate. It’s a moderate issue – PSC expects at least one person with this training, especially on long voyages far from shoreside hospitals.",5,Process
01213,Evidence of basic training,"(STCW VI) All crew must have Basic Safety Training (BST). If some seafarers lack proof of BST (perhaps new crew without certificates on hand), that’s a compliance gap and a safety concern – those individuals may not know how to use firefighting gear or survival craft. PSC will likely detain or disembark any crew who cannot prove basic training. Moderately severe (the ship can sail if those crew are removed or quickly trained).",5,Process
01214,Endorsement by flagstate,"(STCW I/10) Officers’ certificates issued by one country must be endorsed by the ship’s flag State. If an officer only has a foreign cert with no flag endorsement, legally they are not recognized by the flag. PSC treats this similar to not having a certificate at all – very serious administratively. Often results in detention or removal of the officer until endorsement is obtained. High severity because it invalidates the officer’s authority on board.",7,Process
01215,Application for Endorsement by flagstate,"Sometimes an officer may sail on proof of application for endorsement (a temporary measure). If the grace period passed and only an application (no actual endorsement) is aboard, PSC will flag it. It’s moderate – if within allowed time, fine; if overdue, it’s like 01214 (serious). Typically not detainable if still in process within STCW-allowed window, but must be resolved.",5,Process
01216,Certificate for personnel on ships subject to the IGF Code,"(STCW V/3) Crew on vessels using gases as fuel (e.g., LNG-powered ships) need special training (IGF Code). If those certificates (Basic or Advanced IGF training) are missing for engineers or bridge officers, that is a major hazard – mishandling LNG/LPG fuel can lead to catastrophic fires/explosions. PSC will likely detain until crew are properly qualified. High severity given the explosive nature of gas fuels.",7,Process
01217,Ship Security Officer certificate,"(STCW VI/5 & ISPS) The designated SSO must be trained and certified. Without a certified SSO, the ship’s ISPS compliance is in doubt – the crew may not handle security threats properly. This is moderately severe; while it doesn’t threaten immediate physical safety like a fire, it poses security risks. PSC will demand a certified SSO on board (they may accept that the Master or another officer has it – one of them must).",6,Process
01218,Medical certificate,"(MLC/STCW I/9) Each seafarer must have a valid medical fitness certificate. If crew medicals are expired or missing, they might be unfit for duty (risk of sudden incapacitation or illness at sea). PSC views missing medicals as a serious MLC breach – a potentially unfit crew member can endanger themselves and others. Ships have been detained for widespread lack of valid medicals. High severity (especially for key personnel like bridge watchkeepers – an undiscovered medical condition could lead to incapacitation during critical moments).",7,Process
01219,Training and qualification MLC - Personnel safety training,"Suggests crew must be trained in personal safety and social responsibilities (which is part of BST) and possibly other MLC-related safety training (like hygiene, bullying & harassment prevention, etc.). If records are missing, it’s a moderate issue – usually covered by STCW basic training anyway. PSC will note it as a documentation/training gap.",5,Process
01220,Seafarer' employment agreement SEA,"(MLC 2006) Each seafarer must have a signed employment contract (SEA) meeting MLC requirements. Unsigned or substandard SEAs are one of the most common detainable MLC deficiencie​gard.no】. If crew don’t have valid SEAs, it implies potential abuse (unpaid wages, excessive hours). PSC takes this very seriously – they often detain ships until proper contracts are in place or resolve conflicts (e.g., crew complaining of different terms). High severity due to legal and welfare implications.",8,Process
01221,Record of employment,"Discharge books or certificates of discharge that note a seafarer’s service. If not provided, it’s an MLC requirement not met, but relatively minor in terms of ship operation. PSC will advise rectification (ensures seafarers can prove sea time for their career). Low severity.",4,Process
01222,Doc evidence for personnel on passenger ships,"(STCW V/2) Crew on passenger ships must have crowd management and safety training for assisting passengers. If crew designated to assist passengers in emergencies lack this, passenger evacuation efficiency and panic control are compromised (e.g., untrained crew might fail to manage crowds during a mustering). PSC on passenger vessels will check this; deficiency could lead to reduction in passenger count or detention until training done. Moderate-high severity given potential impact in an emergency.",6,Process
01223,Security awareness training,"(STCW VI/6) All seafarers need at least security awareness training, and those with security duties need a higher level. If certificates for these are missing, it’s an ISPS compliance gap. PSC will note it – it doesn’t immediately threaten the ship unless a security incident occurs, but it’s a mandatory requirement. Moderate severity – easily addressed by short courses, but still important for overall security posture.",5,Process
01224,Certificate for rating able seafarer deck/engine and electro-technical,"(STCW II/5, III/5, III/7) These are STCW certifications for experienced ratings (able seaman, able engine, ETR) introduced in 2010 amendments. If required by the vessel’s safe manning and missing, PSC will flag it. It affects the career progression of ratings and sometimes manning requirements. It’s moderately severe: lack of certified ABs or motormen might violate manning regulations and indicate crew may not have proven skills. The ship could be detained if manning doesn’t fulfill flag requirements.",6,Process
00013,Certificates and Documentation - Document,,,Process
01302,SAR co-operation plan for pass.ships on fixed trade,"(SOLAS V) Passenger ships on certain fixed routes (e.g., ferries) must have a plan for cooperation with SAR services. If missing, coordination in a rescue might be slowe​virtuemarine.nl】. PSC sees this as important (especially after incidents like Estonia); they’d require it before sailing. Moderate severity – crucial for passenger rescue preparedness.",6,Process
01303,Unattended machinery spaces (UMS) evidence,"(SOLAS II-1) If a ship operates engine room in UMS mode, documentation (class notation, test records) should prove it meets criteria. If this evidence (like periodic test results of alarms) is lacking, PSC may be concerned the ship isn’t truly safe for UMS at sea. They might insist on manned engine watches until proper evidence is provide​safety4sea.com】. Moderate severity (affects operation mode, not immediate danger if mitigated by manning).",5,Process
01304,Declaration of AFS compliance,(AFS Convention) Smaller ships or those not requiring the full AFS Certificate carry a declaration that their hull coating complies (no TBT). Missing declaration is a minor documentation gap. PSC will ask for it but it doesn’t alone cause detention (unless there’s reason to suspect banned paint). Low severity.,3,Process
01305,Log-books/compulsory entries,"Various logs (deck log, engine log, GMDSS log, oil record book, garbage record, etc.) have required entries. If essential entries are missing (e.g., no entries of fire drills in log, or oil record book not maintained), it raises compliance and potential cover-up concerns. For instance, an empty Oil Record Book might imply illegal discharges not recorded – PSC would investigate such cases vigorousl​safety4sea.com】. Score moderate: exact impact depends on which log – an incomplete radio log (minor) vs. oil record (major with possibly higher effective severity if intentional omission is suspected).",4,Process
01306,Shipboard working arrangements,"(SOLAS II-1) The intact and damage stability booklet (or loading stability data) is essential. Without approved stability info, the crew cannot ensure the ship’s loading is within safe limits – a situation that has caused capsizings (e.g., Herald of Free Enterprise). PSC will detain ships lacking stability booklets or if they are wildly out of date, as this is critical for safe loadin​classnk.com】. Score 9: fundamental to seaworthiness.",9,Process
01307,Maximum hours of work or the minimum hours of rest,(MARPOL VI) Required for new ships – documents the ship’s attained EEDI. Missing file doesn’t affect operation; it’s mostly for verification by auditors. PSC would just note it. Very low severity (environmental documentation).,2,Process
01308,Records of seafarers' daily hours of work or rest,"(MARPOL VI) All ships must have a SEEMP onboard (a plan to improve energy efficiency). If missing, it’s an administrative breach with no direct safety effect. PSC will require one, but it’s a low severity compliance issue.",3,Process
01309,Fire control plan - all,"Some flag States issue an MLC inspection report or certificate. If required and missing, PSC may wonder if the ship underwent its mandated MLC inspection. It’s moderately important for crew welfare verification – PSC may scrutinize working/living conditions more closely in its absence.",4,Process
01310,"Signs, indications","(MLC Reg.5.1.5) Ships must have a procedure for crew to lodge confidential complaints about MLC violations. If missing, crew may have no remedy for issues like unpaid wages or bullying except going to PSC directly. PSC views this as significant (it’s a specific MLC requirement). Not having it is a deficiency that needs correction (post the procedure, train crew on it). Moderate severity (indirectly affects morale/compliance culture).",5,Process
01311,Survey report file,"Many seafarers’ employment conditions are governed by a CBA between owner and unions. MLC requires that if a CBA applies, it’s available on board. If missing, PSC can’t verify if terms in SEAs meet at least CBA minimums – could hide substandard conditions. Moderate severity (documentary but important for ensuring fair conditions).",5,Process
01312,Thickness measurement report,"After installation or annual servicing of AIS, a test report may be provided. If missing, it’s minor (the real issue is if the AIS itself is working – see code 10113). PSC might ask if AIS has been tested; absence of a report is an administrative gap. Low severity, assuming AIS itself is operational.",4,Process
01313,Booklet for bulk cargo loading/unloading/stowage,"(SOLAS III/Reg.17) All ships must have a plan (and means) to recover a person from the sea (Man Overboard rescue). If missing, crew might not have thought through how to retrieve an unconscious person from water. This is quite important, especially with small freeboard or high freeboard ships needing special equipment (nets, Jason’s cradle, etc.). PSC will ask for the plan; lacking one is a moderate safety issue. They’ll likely detain until a suitable recovery arrangement is in place if the ship can’t demonstrate one.",6,Process
01314,Shipboard oil pollution emergency plan (SOPEP),"(MARPOL Annex I, Chap.8) Oil tankers conducting Ship-to-Ship (STS) cargo transfers must have an STS transfer plan and keep records of each STS operation. If the ship does STS and has no plan or logs, it’s violating MARPOL (and is a spill risk due to lack of procedure). PSC in regions where STS is common (e.g., off Malaysia, Gulf of Guinea) will detain vessels for improper STS operations. High-moderate severity: STS has led to spills, so regulators require strict adherence to procedures.",6,Process
01315,Oil record book,"(Polar Code) Ships in polar waters must carry a PWOM detailing ship-specific procedures for ice navigation, cold weather operations, emergency equipment in polar conditions, etc. If a ship trading in Arctic/Antarctic lacks a PWOM, it is a serious safety and environmental concern (the crew may not be prepared for polar hazards). Polar PSC (e.g., Canada, Russia) would likely detain it until a proper manual is provided. Score 8 for extreme environment preparedness.",8,Process
01316,Cargo information,"(MLC A2.5.2) MLC requires shipowners to have insurance or financial security to repatriate crew in cases of abandonment. If this certificate (often from P&I club) is missing, and if crew are owed repatriation, they might be stranded. PSC treats this as a serious MLC compliance item after several high-profile crew abandonment cases. They will demand evidence of coverage (which pays for flights, subsistence, etc., if owner fails to) – high moderate severity as it directly affects crew welfare in worst-case scenario.",7,Process
01317,Cargo record book,"(MLC A4.2) Another MLC-required security, covering shipowner liability for crew injury, illness, death (essentially guaranteeing compensation). Missing this means crew might not get due compensation or care. PSC will similarly view it seriously – it became mandatory from 2017, and lacking it is detainable under MLC in many ports. High moderate severity due to direct impact on crew well-being and legal compliance.",7,Process
01318,P & A manual,(If not covered in earlier codes) This ensures the ship is fit to carry certain dangerous cargoes (solids in bulk or packaged DG). Absent documentation of compliance (for the class of cargo carried) is a major risk factor. The ship might be carrying hazardous cargo without proper safety arrangements. High severity and likely detainable for certain cargoes.,7,Process
01319,Shipboard mar. poll. Emergency plan (MPEP) for NLS,,,Process
01320,Garbage record book,,,Process
01322,Conformance Test Report,,,Process
01323,Fire safety operational booklet,,,Process
01324,Material safety data sheets,,,Process
01325,ACM statement of compliance (including exemption),"(SOLAS XI-1) If the CSR file (historical record) is not properly updated or available, it’s a moderate documentation issue. It doesn’t directly affect safety but is important for transparency of ownership and history. PSC will likely instruct to update it.",5,Process
01326,Stability Information Booklet,"(HKC / EU SRR) Modern regulations require an IHM listing hazardous materials (like asbestos) on board. If the statement or certificate is missing, it’s a documentation compliance issue. Not an acute danger by itself unless it indicates uncontrolled asbestos (which appears later under code 02133 and 18422). Moderate.",5,Process
01327,Energy Efficiency Design Index File,(SOLAS II-1 Regulation 3-6) Large tankers and bulk carriers need a Ship Structure Access Manual for safe access to structural spaces. Missing this manual is a safety issue for inspections/maintenance of the hull. PSC will require one because lack of it can hamper surveys and detection of structural problems​fma.fo​fma.fo. Moderately high severity.,6,Process
01328,Ship Energy Efficiency Management plan,"(IMSBC Code) Certain bulk carriers (esp. carrying grain or prone to structural stress) require approved loading instruments and plans. If an approved loading manual or instrument is missing or inoperative, the ship could be at risk of structural overstress or instability when loading/unloading​fma.fo​classnk.com. PSC treats this seriously (e.g. requiring a functional loading computer and plan before cargo ops). High moderate severity.",7,Process
01329,"Report of inspection on MLC, 2006","If PSC had done a previous MLC inspection and the report or follow-up is required on board (this might refer to keeping previous inspection reports), missing it is minor. It doesn’t affect compliance per se, but PSC likes to see previous reports to check if deficiencies were rectified. Low severity.",4,Process
01330,"Procedure for complaint under MLC, 2006","(Duplicate of 01310 in essence) Ensuring crew have a fair and functional onboard complaint process per MLC. If not in place, crew rights and welfare are compromised. PSC will cite it; moderate because it could indicate a poor safety culture but doesn’t directly threaten ship safety.",5,Process
01331,Collective bargaining agreement,"(Duplicate of 01311 context) Without a CBA or equivalent, PSC may suspect substandard employment conditions. Important for crew welfare (wages, etc.), moderate severity.",5,Process
01332,AIS test report,"(Duplicate context of 01312) If the annual test report for AIS is missing, it’s minor provided the AIS works.",4,Process
01333,Ship specific plans for the recovery of persons from the water,(Duplicate context of 01313) Emphasizing again the necessity of a recovery plan.,6,Process
01334,STS Operation Plan and Records of STS Operations,(Duplicate context of 01314) Ensuring safe STS transfers.,6,Process
01335,Polar Water Operational Manual,(Duplicate context of 01315) Emphasizing its importance in polar ops.,8,Process
01336,Certificate or documentary evidence of financial security for repatriation,(Duplicate context of 01316).,7,Process
01337,Certificate or documentary evidence of financial security relating to shipowners liability,(Duplicate context of 01317).,7,Process
00002,Structural condition,,,Equipment
02101,Closing devices/watertight doors,"All openings (hull doors, ramps, watertight interior doors) must seal properly. If they fail, flooding can spread uncontrollably in an accident. E.g., an inoperative watertight door on a ro-ro deck is very hazardous (ro-ro ferry losses have been linked to open doors). PSC often tests random doors/hatches. A significant failure (door can’t close or seal) will typically result in a detention until fixed, as it violates damage control integrity. High severity – directly affects survivability in flooding.",8,Equipment
02102,Damage control plan,"SOLAS requires a damage control plan on board, showing boundaries and steps to control flooding. If missing, crew might be less organized in an emergency. It’s a documentation issue – PSC will require one on board but likely won’t detain solely for this if the structural gear (pumps, W/T doors) are fine. Still, moderate severity since it aids crew response.",5,Equipment
02103,Stability/strenght/loading information and instruments,"The ship must have approved stability data and any required loading instrument (for bulkers, container ships etc.) functioning. If this info or instrument is not available, the ship could be unknowingly loaded to unsafe stress or stability margin​classnk.com】. PSC sees that as critical – e.g., bulk carriers must have a working loading computer to avoid structural collapse. Expect detention or requirement to unload cargo if safe loading can’t be verified. Very high severity (multiple bulk carrier losses in the 90s led to strict enforcement of this).",8,Equipment
02104,Information on the A/A-max ratio (Roro/pass.only),"For certain ro-ro passenger ships, damage stability calculations include an A/A<sub>max</sub> factor (relative floodable deck area). They must have data to prove compliance. If not, the ferry’s damage stability might be insufficient. PSC in EU (Stockholm Agreement) and elsewhere will hold such a ship until it demonstrates compliance, because it’s directly related to survivability if car deck floods. High-moderate severity (ferries have sunk due to inadequate stability with open decks).",7,Equipment
02105,Steering gear,"The steering gear (rudder actuators, pumps, controls) must be fully functional and redundant. Any deficiency – e.g., one steering pump inoperative, or control transfer not working – is treated as very serious. Loss of steering is a well-known cause of collisions/groundings. PSC typically tests steering during departure; if it fails or is unreliable, the ship will be detained until repaired. This is a critical system for safe navigation.",9,Equipment
