Code,Title,Description,Paris MOU Recommendations,AMSA Trends,AMSA Recommendations,Tokyo MOU Trends,Tokyo MOU Recommendations,Paris MOU Trends,Mapped Questions-Internal,Mapped Questions-External
1109,Decision-support system for masters on pass. ships,"(SOLAS V) Required for passenger ships to assist in emergencies (often a specialized software/manual). If not provided, master’s ability to make optimal decisions in crises (like damage control) is reduced. It’s a significant safety aid; its absence is a moderate-to-high concern.",,,,,,,,
1110,Authorization for grain carriage,"(Grain Code) A document certifying the ship’s stability arrangements for bulk grain. Without it, carrying grain can lead to severe stability issues (grain shift). PSC will insist on this authorization (or approved grain stability data) before allowing grain loading – a major concern but rectifiable by proper loading plan or exemptions.",,"MO16 & MO19 updates (Sept 2025): vessel certification, load line marks and tonnage measurement","Ensure the ship carries valid load line and tonnage certificates in accordance with Marine Orders 16 & 19; verify that load line marks and Plimsoll mark are correctly positioned and visible; avoid overloading and operate within assigned freeboard; apply for an International Tonnage Certificate when required; maintain hull openings, hatch covers and closing devices to ensure watertight integrity; update certificates if vessel modifications affect load line or tonnage",,,,,"Has the vessel manager provided policy statements and relevant publications for the safe carriage and handling of grain in bulk? (V)? # Has the grain cargo been examined and sampled during loading to ensure that the apparent conditions meet the requirements as described in the documentation and is there recorded evidence of regular monitoring where applicable? (V)? # Is the approved document of authorisation and grain stability booklet (Grain Loading Manual) provided? # Is if the document of authorisation was not provided, can the master demonstrate the compliance of the ship’s stability with the Grain Code? (V)? # Have cargo holds been grain or hospital cleaned, where applicable, and has a ship’s hold inspection certificate been issued by a 3rd party prior to loading grain? (V & M)? # Is there evidence of a satisfactory grain stability calculation for the last voyage?"
1111,Liquefied gases in bulk (CoF/GC Code),"(Gas Carrier Code) Certifies an LPG/LNG carrier meets design/equipment standards for hazardous gases. Missing this is very severe – the ship should not carry such cargo. Likely detention until a valid CoF is produced or cargo offloaded, due to extreme fire/explosion risks.",,"MO16 & MO19 updates (Sept 2025): vessel certification, load line marks and tonnage measurement","Ensure the ship carries valid load line and tonnage certificates in accordance with Marine Orders 16 & 19; verify that load line marks and Plimsoll mark are correctly positioned and visible; avoid overloading and operate within assigned freeboard; apply for an International Tonnage Certificate when required; maintain hull openings, hatch covers and closing devices to ensure watertight integrity; update certificates if vessel modifications affect load line or tonnage",,,,,"Is there an approved LNG Fuel Handing and Emergency Procedure Manual, and are crew familiar with the bunkering and emergency procedures such as leakage, fire or potential fuel stratification resulting in rollover? # Are staff responsible for LNG bunkering aware of their responsibilities and actions to be taken in case of malfunction or emergency and are instructions and warning signs clearly posted on site for safe LNG bunkering operation? # Is the LNG bunkering operator control panel fitted with an earth indicator light to indicate the faulty circuits and is the control panel free of any faulty earth indication during LNG bunkering? # Have the key components of the LNG bunkering system been identified, included within the PMS, maintained and where applicable, calibrated as per the manufacturer’s recommendation? # Has the LNG hose handling operation been carried out and supervised by trained personnel? # Has the LNG fuels bunkering checklist been correctly completed and is there evidence to show that they are effectively managing their obligations as accepted in the checklist? # Is the receiving vessel in a high state of readiness at all times during LNG bunkering operations? # Is prevention of over-pressurization of the LNG transfer system in the event of activation of the ERS or the ESD documented in the LNG fuel-handing manual? # Are the officers aware of any LNG bunker loading limitations for the vessel and are these limitations, if applicable, clearly posted at the LNG bunker operation panel? # Has the vessel been provided with a gas free certificate at the discharge port prior to commencement of discharge operation? (V)? # Is the verified gross mass communicated in shipping documents sufficiently in advance to the master? (V)?"
1112,Liquefied gases in bulk (ICoF/IGC Code),(Modern gas carriers under IGC Code) – Same severity reasoning as 01111: essential for legal carriage of LNG/LPG under current standards.,,,,,,,,Has the LNG fuels bunkering checklist been correctly completed and is there evidence to show that they are effectively managing their obligations as accepted in the checklist?
1113,Minimum safe manning document,"(SOLAS V) States the minimum crew numbers/qualifications. If not on board, or if manning is below that level, the ship is legally undermanned – a detainable situation. PSC views undermanning as directly increasing accident risk (fatigue, emergency response capability); ships have been detained until additional crew joi​crclass.org】.",,Watchkeeping & crewing standards 2025 – fatigue & hours of rest,"Maintain appropriate crewing levels and safe watchkeeping arrangements to prevent fatigue; avoid the 6-on/6-off watch schedule where possible; comply with minimum hours-of-rest requirements and keep accurate work/rest records; do not falsify rest records; review watchkeeping schedules to ensure adequate sleep and safe handovers; integrate fatigue risk management into the Safety Management System and follow STCW, MLC and Marine Order 28 requirements",,,,,
1114,Dangerous chemicals in bulk (CoF/BCH Code),(Old Bulk Chemical Code) Certificate for older chemical tankers. Absence means the vessel’s structure/equipment for toxic or reactive chemicals isn’t verified – an unacceptable situation. Would be treated on par with other fitness certs (detention or no loading of such cargo).,,"MO16 & MO19 updates (Sept 2025): vessel certification, load line marks and tonnage measurement","Ensure the ship carries valid load line and tonnage certificates in accordance with Marine Orders 16 & 19; verify that load line marks and Plimsoll mark are correctly positioned and visible; avoid overloading and operate within assigned freeboard; apply for an International Tonnage Certificate when required; maintain hull openings, hatch covers and closing devices to ensure watertight integrity; update certificates if vessel modifications affect load line or tonnage",,,,,
1115,Dangerous chemicals in bulk (ICoF/IBC Code),(IBC Code) Certificate for modern chemical tankers. Similarly critical – without it the ship should not transport IMO Class chemicals. Non-compliance would result in detention or cargo refusal due to pollution and safety hazards.,,,,,,,,
1116,Operational limitations for passenger ships,"Some passenger ships have explicit operational limits (e.g., wave height, area). This entry implies documentation of those limits. If missing, the vessel might unknowingly operate beyond safe conditions. It’s a moderate issue; PSC will require clarity on any restrictions to ensure compliance.",,,,,,,,Is the master aware of the operational limitations specified in the Polar Ship Certificate? (V)?
1117,International Oil Pollution Prevention (IOPP),"(MARPOL Annex I) Proves ship has oil pollution prevention equipment (e.g. oily water separator) and procedures. No IOPP = potential illegal oil discharge. PSC treats it as highly detainable (ship cannot legally carry oil/fuel without it). In effect, a ship without IOPP is a huge pollution risk and often targeted for detailed exa​safety4sea.com】.",,,,,,,,"Is an approved MARPOL Shipboard Oil Pollution Emergency Plan (SOPEP) available, and up to date and are ship’s personnel familiar with their duties?"
1118,Pollution prevention by noxious liquid sub in bulk,"(MARPOL Annex II) Required for chemical tankers carrying noxious liquids (categories X, Y, Z). Missing NLS cert is similar to missing IOPP but for chemicals – very serious (ship shouldn’t be carrying those cargoes). PSC likely detains or restricts cargo operations until certificated.",,,,,,,,
1119,International Sewage Pollution Prevention Cert.,"(MARPOL Annex IV) Required for ships >400 GT or >15 persons for sewage treatment/holding compliance. If absent, the ship technically shouldn’t discharge sewage at sea. It’s a moderate environmental cert; PSC will cite it and likely require one before departure, but not usually immediate detention unless the ship is actively found polluting.",,,,,,,"15 ppm OWS , ODME, sewage plant (STP), incinerator - operation/test records. Effluent test records for STP.?",
1120,Statement of Compliance CAS,"(MARPOL Annex I) CAS applies to older single-hull tankers to assess structural condition. If a tanker required to undergo CAS lacks this Statement, it indicates the vessel may be too old/risky to carry heavy oil. PSC in port states that enforce CAS will detain or ban such a tanke​file-rqgsxjhhjrkkp4ut9spfnu】, considering it high severity due to heightened spill risk in aging hulls.",,,,,,,,
1121,Interim Statement of Compliance CAS,"As above, if only an interim compliance is in effect (perhaps during the CAS process). If even that is missing when needed, it’s treated similarly – the tanker’s continued operation is in question. High severity for older tanker operation.",,,,,,,,
1122,International ship security certificate,"(SOLAS XI-2/ISPS) Indicates ship meets ISPS security standards. Absence means the ship has not been audited for security measures – a serious security breach. Many ports will refuse entry or detain a vessel without an ISSC, given global security post-9/11. Severity is very high (the ship might be considered a security risk with no valid ISSC).",Carry a valid International Ship Security Certificate (ISSC) issued by the Administration or a recognised security organisation; check that it is current and correctly endorsed; keep it available for inspection.,,,,,,,
1123,Continuous synopsis record,"(SOLAS XI-1) The CSR is a history of the ship’s identity and ownership. If missing or not updated, it’s a documentation lapse that could hinder traceability (important for security and safety history). PSC will require it to be updated. It’s moderately important legally but has no direct immediate safety impact – hence a lower score.",,,,,,,,
1124,International Air Pollution Prevention Cert,"(MARPOL Annex VI) Certifies compliance with engine NOx limits, fuel sulfur limits, etc. Without IAPP, the ship cannot prove it meets air emission rules (e.g., might be burning high-sulfur fuel illegally). PSC sees missing IAPP as a serious environmental non-compliance; in emission control areas this can lead to detention/fine​safety4sea.com】. We score it high – essential for legal operation post-2020 sulfur cap.",,,,,,,,"Is the ro-ro ship fitted with an automatic system to control air quality in the cargo holds and are records of inspection, testing, calibration, and maintenance of the system being maintained? (V)?"
1125,Engine International Air Pollution Prevention Cert,"(MARPOL Annex VI) Individual engines >130 kW need EIAPP certificates (NOx compliance). Missing certs mean the engine may not meet NOx standards. PSC will flag it – the ship might be allowed to sail short term but must rectify with the flag State. It’s a significant compliance issue, especially in NOx Emission Control Areas.",,,,,,,,"Has the vessel been provided with an International Energy Efficiency Certificate? # Can the vessel safely comply with the requirements of Emission Control Area (ECA) and other local requirements regarding use of very-low or ultra-low sulphur fuels in the main engine, auxiliary engines and boilers?"
1126,Document of compliance dangerous goods,"(SOLAS II-2/19) If a ship (not a tanker) carries packaged dangerous goods, it needs a DoC (indicating fire protection arrangements, etc., are in place). Without it, carrying DG is unsafe and not permitted. PSC would likely detain or forbid loading of dangerous goods until the ship is properly certified – a high safety risk if not compliant (e.g., insufficient fire protection for DG cargo).",,"MO16 & MO19 updates (Sept 2025): vessel certification, load line marks and tonnage measurement","Ensure the ship carries valid load line and tonnage certificates in accordance with Marine Orders 16 & 19; verify that load line marks and Plimsoll mark are correctly positioned and visible; avoid overloading and operate within assigned freeboard; apply for an International Tonnage Certificate when required; maintain hull openings, hatch covers and closing devices to ensure watertight integrity; update certificates if vessel modifications affect load line or tonnage",,,,,"Is if dangerous goods are carried in packaged form, have appropriate documents been provided to the vessels? (V)? # Is if dangerous goods are carried in a container, have appropriate documents been provided to the vessel, and is safety in relation to stowage of declared dangerous goods and higher risk cargoes being considered? (V & M)?"
1127,Special purpose ship safety,"(SPS Code) For vessels like research ships, cable layers, etc., carrying special personnel. Missing this cert means those vessels might not have implemented additional safety measures for people on board. PSC treats it seriously for those types – moderate-high severity (not as common, but important in that niche).",,,,,,,,
1128,High speed craft safety and permit to operate,"(HSC Code) High-Speed Crafts (fast ferries, etc.) are high-risk by design. Without an HSC Safety Certificate or valid Permit to Operate, a high-speed craft is not allowed to operate at high speeds or carry passengers. PSC would detain it immediately – the margins for error on HSC are low, so every required certificate must be in force.",,,,,,,,
1129,Mobile offshore drilling unit safety,"(MODU Code) For drilling rigs or vessels – ensures they meet special safety standards. If a MODU lacks this, it shouldn’t operate; PSC (or coastal state) would very likely shut down its operation until certified, due to high potential hazards (blowouts, etc.). High severity in offshore context.",,,,,,,,
1130,INF certificate of fitness,"(INF Code) Required for ships carrying category I, II, III nuclear materials. If missing, such extremely hazardous cargoes are being carried without special precautions – unacceptable. PSC would detain or refuse entry for the ship with INF cargo but no certificate. Very high severity (nuclear material incidents have huge consequences).",,,,,,,,
1131,International AFS certificate *),"(AFS Convention) Certifies the ship’s hull paint doesn’t contain banned toxins (like TBT). If missing, it’s a regulatory issue but not an acute danger – PSC will typically request the cert or a survey. (If it suggests the ship might still have TBT paint, the vessel might be required to renew coating). Low-moderate severity.",,,,,,,,
1132,Tonnage certificate,(TONNAGE 1969) Needed primarily for port fees and to determine convention applicability. Missing it doesn’t directly affect safety; PSC will ask for it to be produced. Minor severity (though legally required).,,"Marine Orders 16 & 19 updates; MO16 & MO19 updates (Sept 2025): vessel certification, load line marks and tonnage measurement","Verify vessel has a valid load line and tonnage certificate; ensure load line marks are correctly positioned and the vessel is not overloaded; commercial yachts operating as commercial vessels must comply with load line requirements and may need an International Tonnage Certificatehttps://www.amsa.gov.au/news-community/news-and-media-releases/revised-marine-orders-16-and-19-commence-1-september-2025; Ensure the ship carries valid load line and tonnage certificates in accordance with Marine Orders 16 & 19; verify that load line marks and Plimsoll mark are correctly positioned and visible; avoid overloading and operate within assigned freeboard; apply for an International Tonnage Certificate when required; maintain hull openings, hatch covers and closing devices to ensure watertight integrity; update certificates if vessel modifications affect load line or tonnage",,,,Any COCs on vessel. Check due dates?,"Is the latest Class Survey Status available and are all statutory certificates listed in the Class Survey Status valid, and is the vessel free of condition of class or significant recommendations? # Has the vessel been provided with a gas free certificate at the discharge port prior to commencement of discharge operation? (V)? # If the vessel’s deadweight is 120,000 or more, does it meet the Pilbara Ports Authority (PPA) requirements for towing?"
1133,Civil liability for oil pollution damage cert.,"(CLC Convention) This cert (often from P&I insurer) shows the ship has insurance for oil spill liability. If missing (for tankers carrying >2000 tons of oil), the ship cannot enter many ports (no insurance = no entry by law). PSC will detain or deny entry because any spill would otherwise have no guaranteed compensation. High severity from a regulatory perspective (financial security), though not a physical safety issue – but effectively, ship is not allowed to operate without it.",,,,,,,,
1134,Polar ship certificate,"(Polar Code) Required for ships operating in polar waters, outlining ice class and polar survival arrangements. If a ship is trading in Arctic/Antarctic without this, it means it may not be prepared for polar hazards (ice navigation, cold safety). PSC (or the polar coastal state) would likely detain or restrict it from polar routes until compliant. High severity for vessels actually in those regions (risk of oil spills or casualty in sensitive polar environment).",,,,,,,,"Is the vessel provided with an approved ship-specific Polar Water Operation manual or an Ice Operation manual? (V)? # Is if the vessel intends to trade in Polar Regions, have the hull underwriters and P&I Club been informed? (V)?"
1135,Document for carriage of dangerous goods,"(Possible duplicate of 01126?) – Ensures vessel’s arrangements for DG (ventilation, detection) are adequate. Same rationale: essential for legal carriage of dangerous cargo; without it, carrying DG is a major safety hazard and not permitted.",,,,,,,,"Are procedures in place for entering any cargo holds sealed for fumigation in transit? (V)? # Is if dangerous goods are carried in packaged form, have appropriate documents been provided to the vessels? (V)? # Is if dangerous goods are carried in a container, have appropriate documents been provided to the vessel, and is safety in relation to stowage of declared dangerous goods and higher risk cargoes being considered? (V & M)?"
1136,Ballast Water Management Certificate,"(BWM Convention) Indicates compliance with ballast water treatment standards to prevent invasive species. If missing, the ship might be using untreated ballast – an environmental violation. PSC increasingly enforces this; some countries detain ships or deny ballast discharge if no valid certificate. Moderate-high severity (environmental risk – not immediate like a spill, but significant ecological harm potential; also a legal must-have now).",Carry a valid BWM certificate; update and implement the Ballast Water Management Plan; maintain an accurate Ballast Water Record Book; ensure the ballast water treatment system is operational; familiarise crew with BWM procedures and the CIC questionnaire,,,2025 joint Paris–Tokyo MoU concentrated inspection campaign on Ballast Water Management will assess compliance with BWM requirements.,"Keep a valid Ballast Water Management Certificate; update and maintain the BWM Plan; ensure the ballast water management system is approved and operates correctly; keep an accurate Ballast Water Record Book; train crew on BWM procedures; manage sediment and ballast tank maintenance; include BWM compliance in the SMS; negative answers to CIC questions may lead to detentionhttps://www.dnv.com/news/2025/psc-cic-2025-on-ballast-water-management-questionnaire-now-published/#:~:text=Recommendationshttps://www.steamshipmutual.com/publications/articles/paris-and-tokyo-mous#:~:text=The%20purpose%20of%20the%20campaign,will%20be%20verified%20during%20inspections.","2025 joint CIC on Ballast Water Management – focus on compliance with BWM Convention (certificates, plans, record books, system operation, crew training)",,"If a ballast water treatment system is fitted, is it in good order and are the officers familiar with its safe operation? # Is an approved ballast water and sediment management plan provided and complied with? # Has the Master been provided with a signed certificate or declaration, indicating the moisture content, Transportable Moisture Limit (TML) and density? (V & M)? # Is if the vessel is carrying timber, are instructions for ballast water exchange operations for the intended voyage available in the Ballast Water Management Plan? (V)? # Is had the Ballast Water Management Plan for the present port stay been executed? (V)? # Has the company established guidelines and procedures for the inspection, maintenance and wear zone management of the mooring lines and are they being implemented? (V & M)?"
1137,Civil liability for Bunker oil pollution damage cert,"(Bunkers Convention) Similar to CLC but for fuel oil on all ships >1000 GT – proof of insurance for bunker spills. Missing it is a compliance gap; many ports will not let a ship sail without it. PSC will detain until one is provided. Moderately high severity due to legal/financial implications (less than CLC for tankers, but still important as bunker spills can be costly).",,,,,,,,
1138,International Energy Efficiency Cert,"(MARPOL Annex VI) Confirms the ship has a verified Energy Efficiency Design Index (EEDI) or a Ship Energy Efficiency Management Plan (SEEMP). If missing, it’s an administrative lapse in environmental documentation. PSC will note it but it doesn’t pose immediate danger. Low severity – need to obtain the certificate to satisfy Annex VI.",,,,,,,Operating condition of AE (each must be able to take at least 80% of rated load)?,Has the vessel been provided with a specific Ship Energy Efficiency Management Plan (SEEMP)? # Has the vessel been provided with an International Energy Efficiency Certificate?
1139,Maritime Labour Certificate,"(MLC 2006) Indicates the ship passed inspection of crew living/working conditions. If a required MLC certificate is absent or expired on a ship to which MLC applies, it signals potentially serious breaches of crew welfare. PSC can detain ships for MLC non-compliance especially if crew are found in bad conditions (and MLC cert missing reinforces that possibility). High severity due to legal requirements and the fact that 10% of detainable deficiencies relate to MLC issue​gard.no】.","Ensure a valid Maritime Labour Certificate is on board; keep it current and attached to the Declaration of Maritime Labour Compliance. The certificate becomes invalid if the ship changes or if measures are not complied with; maintain and present the certificate during inspections.; Carry a valid Maritime Labour Certificate and Declaration of Maritime Labour Compliance; ensure onboard medical facilities, accommodations, food and welfare services meet MLC standards; address crew complaints promptly and document corrective actionshttps://safety4sea.com/2024-paris-mou-annual-report/#:~:text=Looking%20at%20the%20,both%20in%20numbers%20and%20relatively",Seafarer welfare and MLC compliance,"Ensure maritime labour certificates and declarations are valid; uphold seafarer welfare by preventing harassment and violence, providing stronger repatriation entitlements, recognising seafarers as key workers, improving medical care on board, and ensuring thorough casualty investigations; report seafarer deaths as required",,,"Health protection, medical care, welfare and social security (MLC Title IV) were among the top deficiency categories in the 2024 annual report",,
1140,Declaration of Maritime Labour Compliance (Part I and II),"(MLC 2006) Accompanies the MLC certificate detailing how the ship meets MLC standards. If missing, the ship’s compliance regimen is unclear. PSC treats it as a significant deficiency – it must be on board along with the certificate. Not having it could contribute to detention if other crew welfare problems are observed.","Carry a Declaration of Maritime Labour Compliance (DMLC) parts I & II attached to the MLC certificate; Part I lists national requirements; Part II outlines measures adopted to ensure ongoing compliance; ensure details are correct and endorsed by the competent authority.; Maintain the Declaration of Maritime Labour Compliance Parts I and II; provide evidence of flag-state inspections; ensure employment conditions, accommodations, catering and medical care comply with MLC requirementshttps://safety4sea.com/2024-paris-mou-annual-report/#:~:text=Looking%20at%20the%20,both%20in%20numbers%20and%20relatively",Seafarer welfare and MLC compliance,"Ensure maritime labour certificates and declarations are valid; uphold seafarer welfare by preventing harassment and violence, providing stronger repatriation entitlements, recognising seafarers as key workers, improving medical care on board, and ensuring thorough casualty investigations; report seafarer deaths as required",,,"MLC Title IV deficiencies – emphasis on health protection, medical care, welfare and social security",,
1199,Other (certificates),Any other certificate/documentation issue not specified. Severity varies with the document’s importance. Generally a mid-level score – it could range from trivial (e.g. a missing crew list) to critical (a certificate not listed elsewhere). PSC will evaluate case-by-case.,,,,,,,,
12,Certificates & Documentation - Crew Certificate,,,,,,,,,Are the certificates of mooring lines and mooring tails available on board? (V & M)?
1201,Certificates for master and officers,"(STCW) If the Master or any officer required to hold a license (deck or engine) lacks a valid certificate or flag endorsement, the ship is not legally manned. This is one of the gravest deficiencies – e.g., an unlicensed Master/OOW is an accident waiting to happen. PSC will detain the ship until a properly certified officer is on board. (It’s both a safety issue and a violation of STCW and flag state law.)",,,,,,,Endorsement by Flag State of crew certificate are valid.?,Are the requirements of the master’s standing orders explained to the deck officers? and are bridge order books (Night Order) being completed by the master and countersigned by the officers? (V & M)?
